Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
SAN LUIS,Libertador Grl. San Martin,Rincon Del Carmen,,,,,,,,,
SAN LUIS,Libertador Grl. San Martin,San Fernando,,,,,,,,,
SAN LUIS,Libertador Grl. San Martin,San Isidro,,,,,,,,,
SAN LUIS,Libertador Grl. San Martin,San Martin,SI,,SI,SI,,,SI,SI,
SAN LUIS,Libertador Grl. San Martin,San Vicente,,,,,,,,,
SAN LUIS,Libertador Grl. San Martin,Tala Verde,,,,,,,,,
SAN LUIS,Libertador Grl. San Martin,Villa de Praga,,,,,,,SI,SI,SI
SANTA CRUZ,Corpen Aike,Comandante Luis Piedrabuena,SI,SI,SI,,SI,SI,SI,SI,SI
SANTA CRUZ,Corpen Aike,Puerto Santa Cruz,SI,,SI,SI,SI,,SI,,SI
SANTA CRUZ,Deseado,Caleta Olivia,,SI,,SI,SI,SI,,SI,SI
SANTA CRUZ,Deseado,Cañadon Seco,,,,SI,,SI,,SI,SI
SANTA CRUZ,Deseado,Fitz Roy,,,,,SI,SI,,,
SANTA CRUZ,Deseado,Jaramillo,,,,,,,SI,SI,SI
SANTA CRUZ,Deseado,Koluel Kaike,,,,,SI,SI,,,
SANTA CRUZ,Deseado,Las Heras,,,,SI,SI,SI,,SI,SI
SANTA CRUZ,Deseado,Pico Truncado,,,,SI,SI,SI,,SI,SI
SANTA CRUZ,Deseado,Puerto Deseado,SI,,SI,,SI,SI,SI,,SI
SANTA CRUZ,Deseado,Tellier,,,,,,,,,SI
SANTA CRUZ,Güer Aike,28 de Noviembre,,,,SI,SI,SI,SI,SI,SI
SANTA CRUZ,Güer Aike,El Turbio (Est. Gobernador Mayer),,,,,,,,,SI
SANTA CRUZ,Güer Aike,Julia Dufour,,,,,SI,,,,
SANTA CRUZ,Güer Aike,Mina 3,,,,,,SI,,,SI
SANTA CRUZ,Güer Aike,Rio Gallegos,,SI,SI,SI,SI,SI,SI,,SI
SANTA CRUZ,Güer Aike,Rospentek,,,,,,,SI,,
SANTA CRUZ,Güer Aike,Yacimientos Rio Turbio,,,,,SI,SI,SI,,SI
SANTA CRUZ,Lago Argentino,El Calafate,SI,,,SI,SI,SI,SI,SI,SI
SANTA CRUZ,Lago Argentino,El Chalten,,,,SI,,,SI,SI,SI
SANTA CRUZ,Lago Argentino,Tres Lagos,,,,,,,SI,,SI
SANTA CRUZ,Lago Buenos Aires,Los Antiguos,,,SI,,SI,,SI,SI,SI
SANTA CRUZ,Lago Buenos Aires,Perito Moreno,,SI,SI,,SI,SI,SI,,SI
SANTA CRUZ,Magallanes,Puerto San Julian,SI,SI,SI,,SI,SI,SI,SI,SI
SANTA CRUZ,Rio Chico,Bajo Caracoles,,,,,,,SI,,SI
SANTA CRUZ,Rio Chico,Gobernador Gregores,,,,,,,SI,,SI
SANTA CRUZ,Rio Chico,Hipolito Yrigoyen,,,,,,,SI,,
SANTA FE,9 de Julio,Campo Garay,,,,,,,,,
SANTA FE,9 de Julio,Esteban Rams,,,,,SI,,SI,SI,SI
SANTA FE,9 de Julio,Gato Colorado,,,,,SI,,SI,,SI
SANTA FE,9 de Julio,Gregoria Perez de Denis (Est. El Nochero),,,,,SI,,SI,SI,SI
SANTA FE,9 de Julio,Independencia,,,,,,,,,
SANTA FE,9 de Julio,Logroño,SI,,,,SI,SI,SI,SI,
SANTA FE,9 de Julio,Montefiore,,,,,,,SI,SI,SI
SANTA FE,9 de Julio,Pozo Borrado,,,,,SI,,SI,SI,
SANTA FE,9 de Julio,San Bernardo,,,,,,,SI,SI,
SANTA FE,9 de Julio,Santa Margarita,,,,,SI,,SI,SI,SI
SANTA FE,9 de Julio,Tostado,SI,SI,,,SI,SI,SI,SI,SI
SANTA FE,9 de Julio,Villa Minetti,,,,,SI,SI,SI,SI,SI
SANTA FE,Belgrano,Armstrong,SI,,,SI,SI,SI,SI,SI,
SANTA FE,Belgrano,Bouquet,SI,,,,SI,,SI,SI,
SANTA FE,Belgrano,Las Parejas,SI,,,SI,SI,SI,SI,SI,
SANTA FE,Belgrano,Las Rosas,SI,SI,,SI,SI,SI,SI,SI,
SANTA FE,Belgrano,Montes de Oca,SI,,,,SI,,SI,SI,SI
SANTA FE,Belgrano,Tortugas,SI,,,,SI,SI,SI,,SI
SANTA FE,Caseros,Arequito,SI,SI,,,SI,SI,SI,,
SANTA FE,Caseros,Arteaga,SI,SI,,,SI,SI,SI,SI,
SANTA FE,Caseros,Beravebu,,,,,SI,SI,SI,SI,
SANTA FE,Caseros,Bigand,SI,SI,,,SI,SI,SI,,
SANTA FE,Caseros,Casilda,SI,SI,,SI,SI,SI,SI,SI,
SANTA FE,Caseros,Chabas,SI,,,SI,SI,SI,SI,SI,
SANTA FE,Caseros,Chañar Ladeado,SI,SI,,SI,SI,SI,SI,,
SANTA FE,Castellanos,Bauer y Sigel,SI,,,,,,SI,SI,
SANTA FE,Castellanos,Bella Italia,SI,SI,,SI,SI,SI,SI,SI,
SANTA FE,Castellanos,Castellanos,,SI,,,,,SI,SI,
SANTA FE,Castellanos,Colonia Bicha,SI,,,SI,SI,,,,
SANTA FE,Castellanos,Colonia Cello,,,,,SI,,SI,SI,
SANTA FE,Castellanos,Colonia Margarita,,SI,,,,,SI,,
SANTA FE,Castellanos,Colonia Raquel,SI,,,SI,,,SI,SI,
SANTA FE,Castellanos,Coronel Fraga,,,,,,,SI,SI,
SANTA FE,Castellanos,Egusquiza,,,,,SI,,,,
SANTA FE,Castellanos,Esmeralda,,SI,,,SI,,SI,,
SANTA FE,Castellanos,Estacion Clucellas,,SI,,,SI,,SI,SI,
SANTA FE,Castellanos,Estacion Presidente Roca,,,,,,,,,
SANTA FE,Castellanos,Estacion Saguier,,SI,,,,,,SI,
SANTA FE,Castellanos,Eusebia y Carolina,SI,,,SI,SI,,,,
SANTA FE,Castellanos,Eustolia,,,,,,,,SI,
SANTA FE,Castellanos,Frontera,,,,,SI,SI,,SI,
SANTA FE,Castellanos,Garibaldi,,,,,,,SI,,
SANTA FE,General Lopez,Lazzarino,,,,,SI,,,,
SAN LUIS,General Pedernera,Villa Mercedes,SI,SI,SI,SI,SI,SI,SI,SI,
SAN LUIS,General Pedernera,Villa Reynolds,,,,,SI,SI,,,
SAN LUIS,General Pedernera,Villa Salles,,,,,,,,SI,
SAN LUIS,Gobernador Dupuy,Anchorena,,,SI,,SI,,SI,SI,
SAN LUIS,Gobernador Dupuy,Arizona,,,SI,,SI,,SI,SI,
SAN LUIS,Gobernador Dupuy,Bagual,,,,,,,SI,SI,
SAN LUIS,Gobernador Dupuy,Batavia,,,,,,,SI,SI,SI
SAN LUIS,Gobernador Dupuy,Buena Esperanza,,,SI,,SI,,SI,SI,SI
SAN LUIS,Gobernador Dupuy,Fortin El Patria,,,,,SI,,SI,SI,SI
SAN LUIS,Gobernador Dupuy,Fortuna,,,SI,,,,SI,SI,SI
SAN LUIS,Gobernador Dupuy,La Maroma,,,,,,,SI,,SI
SAN LUIS,Gobernador Dupuy,Los Overos,,,,,,,,,
SAN LUIS,Gobernador Dupuy,Martin de Loyola,,,,,,,,SI,SI
SAN LUIS,Gobernador Dupuy,Nahuel Mapa,,,,,,,SI,SI,
SAN LUIS,Gobernador Dupuy,Navia,,,,,,,,SI,SI
SAN LUIS,Gobernador Dupuy,Nueva Galia,,,,,SI,,SI,SI,
SANTA FE,Castellanos,Humberto Primo,SI,SI,,SI,SI,SI,SI,SI,
SANTA FE,Castellanos,Josefina,SI,SI,,,SI,SI,SI,SI,
SANTA FE,Castellanos,Lehmann,SI,SI,,SI,SI,SI,SI,SI,
SANTA FE,Castellanos,Maria Juana,SI,SI,,SI,SI,SI,SI,SI,
SANTA FE,Castellanos,Nueva Lehmann,,,,,,,,,
SANTA FE,Castellanos,Plaza Clucellas,SI,SI,,,SI,SI,SI,,
SANTA FE,Castellanos,Plaza Saguier,,SI,,,SI,,,,
SANTA FE,Castellanos,Presidente Roca,,SI,,SI,SI,,SI,SI,
SANTA FE,Castellanos,Pueblo Marini,,,,,,,,SI,
SANTA FE,Castellanos,Rafaela,SI,SI,,SI,SI,SI,SI,SI,SI
SANTA FE,Castellanos,Ramona,SI,,,,SI,SI,SI,SI,
SANTA FE,Castellanos,San Antonio,,SI,,,,,,SI,
SANTA FE,Castellanos,San Vicente,SI,SI,,,SI,SI,SI,SI,
SANTA FE,Castellanos,Santa Clara de Saguier,SI,SI,,,SI,,SI,SI,
SANTA FE,Castellanos,Sunchales,SI,SI,,SI,SI,SI,SI,SI,
SANTA FE,Castellanos,Susana,,,,SI,SI,SI,SI,SI,
SANTA FE,Castellanos,Tacural,SI,,,SI,SI,SI,SI,,
SANTA FE,Castellanos,Vila,SI,,,,SI,SI,SI,,
SANTA FE,Castellanos,Villa Josefina,,,,,,,,,
SANTA FE,Castellanos,Villa San Jose,,SI,,,,,SI,SI,
SANTA FE,Castellanos,Virginia,,,,,,,,SI,
SANTA FE,Castellanos,Zenon Pereyra,,SI,,,SI,SI,,,
SANTA FE,Constitucion,Alcorta,SI,SI,,SI,SI,SI,SI,SI,
SANTA FE,Constitucion,Barrio Arroyo del Medio,,,,,,,,,
SANTA FE,Constitucion,Barrio Mitre,,,,,SI,SI,,,
SANTA FE,Constitucion,Bombal,SI,SI,,SI,SI,SI,SI,,
SANTA FE,Constitucion,Cañada Rica,,,,,SI,,SI,,
SANTA FE,Constitucion,Cepeda,,,,,,,,SI,
SANTA FE,Constitucion,Empalme Villa Constitucion,SI,,,,SI,,SI,,
SANTA FE,Constitucion,Firmat,,,,,,,,,
SANTA FE,Constitucion,General Gelly,SI,,,,SI,,,SI,
SANTA FE,Constitucion,Godoy,,,,,SI,SI,SI,SI,
SANTA FE,Constitucion,Juan B. Molina,SI,,,,SI,SI,SI,SI,
SANTA FE,Constitucion,Juncal,SI,,,SI,,,SI,SI,
SANTA FE,Constitucion,La Vanguardia,,,,SI,,,SI,,
SANTA FE,Constitucion,Maximo Paz (Est. Paz),SI,SI,,,SI,SI,SI,SI,
SANTA FE,Constitucion,Pavon,SI,,,,SI,SI,SI,,
SANTA FE,Constitucion,Pavon Arriba,,,,SI,SI,SI,SI,SI,
SANTA FE,Constitucion,Peyrano,,SI,,,SI,,SI,,
SANTA FE,Constitucion,Rueda,,,,,,,SI,SI,
SANTA FE,Constitucion,Santa Teresa,SI,SI,,SI,SI,SI,SI,SI,
SANTA FE,Constitucion,Sargento Cabral,,,,SI,SI,,SI,SI,
SANTA FE,Constitucion,Stephenson,,,,,SI,,,,
SANTA FE,Constitucion,Theobald,,,,,SI,,SI,,
SANTA FE,Constitucion,Villa Constitucion,SI,SI,,SI,SI,SI,SI,SI,
SANTA FE,Garay,Cayasta,,,,,SI,SI,SI,SI,
SANTA FE,Garay,Helvecia,,SI,,,SI,,SI,SI,
SANTA FE,Garay,Los Zapallos,,SI,,,SI,,SI,,
SANTA FE,Garay,Saladero Mariano Cabal,,,,,SI,,SI,SI,SI
SANTA FE,Garay,Santa Rosa de Calchines,SI,SI,,,SI,SI,SI,,
SANTA FE,General Lopez,Aaron Castellanos (Est. Castellanos),,,,,SI,,SI,SI,
