Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
CHUBUT,Martires,Las Plumas,NO,NO,NO,NO,NO,NO,SI,NO,SI
CHUBUT,Paso de Indios,Cerro Condor,NO,SI,NO,NO,NO,NO,SI,NO,SI
CHUBUT,Paso de Indios,Los Altares,NO,NO,NO,NO,NO,NO,SI,SI,SI
CHUBUT,Paso de Indios,Paso de Indios,NO,NO,NO,NO,SI,NO,SI,NO,SI
CHUBUT,Rawson,Playa Magagna,NO,SI,NO,NO,NO,NO,NO,SI,NO
BUENOS AIRES,Bragado,Bragado,SI,SI,SI,SI,SI,SI,SI,SI,NO
BUENOS AIRES,Bragado,Comodoro Py,NO,NO,NO,SI,SI,SI,NO,SI,NO
BUENOS AIRES,Bragado,General O'Brien,SI,NO,NO,SI,SI,SI,SI,SI,NO
BUENOS AIRES,Bragado,Irala,NO,SI,NO,NO,SI,NO,SI,SI,NO
BUENOS AIRES,Bragado,La Limpia,NO,NO,NO,NO,NO,NO,NO,NO,NO
BUENOS AIRES,Bragado,Maximo Fernandez (Est. Juan F. Salaberry),NO,NO,NO,NO,NO,NO,NO,NO,NO
BUENOS AIRES,Bragado,Mechita (Est. Mecha),SI,SI,NO,NO,NO,NO,NO,SI,NO
